id,video_id,trending_date,category_id,publish_time,views,likes,dislikes,comment_count,Artist,Title,Author,publish_date
19524,-BDImdAfodA,2018-02-21,10,08:59:34,2573613,45075,2055,4346,Kylie Minogue,Dancing (Official Video),,2018-02-01
19430,08qd-vsHbaY,2018-02-21,10,02:34:17,247308,7043,83,631,BeachHouseVideoZone,BEACH HOUSE -- LEMON GLOW,,2018-02-15
19573,0GQmGOju6CE,2018-02-21,24,18:59:44,1509139,88917,1000,15187,,THE GHOST IN MY HOUSE - Morgan Adams,Morgan Adams,2018-01-24
19466,0ldBURP-cWo,2018-02-21,10,12:44:55,220026,5562,74,422,BBC Radio 1Xtra,"Jhene Aiko talks about Big Sean drama, booty and past heartbreak",,2018-02-09
19521,0uJUW24505E,2018-02-21,10,20:30:00,3402024,77088,1364,5081,LIL SKIES,LETTUCE SANDWICH [OFFICIAL VIDEO] (Dir. by @NicholasJandora),,2018-02-01
19444,1R0Xgq1bxZI,2018-02-21,23,19:00:00,364603,12470,2626,1534,,| Hannah Hart,Perks of Dating a Girl,2018-02-12
19494,2z3EUY1aXdY,2018-02-21,17,01:51:53,13572623,166134,53067,31617,,Justin Timberlake’s FULL Pepsi Super Bowl LII Halftime Show! | NFL Highlights,NFL,2018-02-05
19567,3ChgRbqGi-E,2018-02-21,10,08:00:01,11804444,228328,3563,5801,Kygo,Stranger Things ft. OneRepublic,,2018-01-24
19407,4eOq4xzaPsA,2018-02-21,26,18:17:27,69319,2584,82,147,,FULL FACE OF FIRST IMPRESSIONS + NEW LAUNCHES | I Covet Thee,I Covet Thee,2018-02-16
19462,4uTNVumfm84,2018-02-21,10,14:00:00,22457655,485779,11332,20150,Maroon 5,Wait,,2018-02-08
19572,5x-d3pabd5o,2018-02-21,10,00:20:02,14124373,206416,5657,6084,Jhené Aiko,Sativa ft. Rae Sremmurd,,2018-01-23
