id,video_id,trending_date,category_id,publish_time,views,likes,dislikes,comment_count,Author,Title,Artist,publish_date
10025,-3VBPAZPTQI,2018-01-03,22.0,15:11:23,329121.0,14008.0,273.0,791.0,Jamie Genevieve,NEW YEAR'S EVE MAKEUP TUTORIAL | JAMIE GENEVIEVE,,2017-12-29
10151,-mZZAvIHMvQ,2018-01-03,24.0,17:00:00,1889439.0,70440.0,3332.0,39367.0,Star Wars Theory,What REALLY Happened to SNOKE in The Last Jedi (SPOILERS) - Star Wars Theory Explained,,2017-12-17
10059,-z2EqJTyAiU,2018-01-03,1.0,17:00:13,1042742.0,51394.0,691.0,2335.0,Dimitri Vegas & Like Mike,Dimitri Vegas & Like Mike vs Steve Aoki ft Abigail Breslin – We Are Legend,,2017-12-26
10160,0VsgQmCPgoI,2018-01-03,22.0,17:30:01,102316.0,4500.0,79.0,441.0,Estée Lalonde,SURPRISE TRIP TO FINLAND!!,,2017-12-17
10086,0gv90B5DIPo,2018-01-03,24.0,22:20:03,122779.0,1560.0,336.0,1691.0,Hybrid Network,George Lucas Being Blamed for The Last Jedi Backlash,,2017-12-22
10074,1Wo6WEBhBBw,2018-01-03,25.0,14:08:40,37057.0,1000.0,40.0,227.0,South Front,"Syrian War Report – December 25, 2017: Army Cuts Off Key Militant Supply Line In Beit Jinn Pocket",,2017-12-25
10159,21jcP-1w4DA,2018-01-03,26.0,09:30:01,119905.0,4078.0,211.0,159.0,Lily Pebbles,WHAT I GOT FOR MY BIRTHDAY | Lily Pebbles,,2017-12-17
10077,2cosj7UeQoY,2018-01-03,10.0,09:01:53,182365.0,1693.0,526.0,644.0,,Cardi B talks on how she wanted to quit rapping when a famous rapper took her verse off his song,Emcee Rapology,2017-12-19
10054,2dls8iCoQTI,2018-01-03,26.0,17:00:00,856041.0,46948.0,1260.0,3567.0,marshmello,Cooking with Marshmello: How To Make Strawberry Santas (Christmas Edition),,2017-12-26
10137,2pVHOaT9CZ4,2018-01-03,24.0,20:00:24,411851.0,13069.0,149.0,872.0,WIRED,Sesame Street Puppeteers Explain How They Control Their Puppets | WIRED,,2017-12-18
10073,3ATQvgkXT9E,2018-01-03,10.0,23:00:01,18210447.0,438118.0,53050.0,31286.0,,"Krippy Kush (Remix) ft. Bad Bunny, Rvssian","Farruko, Nicki Minaj, Travis Scott",2017-12-22
10187,3a3vMfOCb3Q,2018-01-03,17.0,02:41:42,104474.0,828.0,133.0,272.0,CliveNBAParody,Lonzo Ball RUNS AWAY FROM LEBRON JAMES DUNK - LeBron James vs Lonzo Ball - Cavaliers vs Lakers,,2017-12-15
10045,3lynMqYvPnw,2018-01-03,20.0,17:30:06,102675.0,2001.0,32.0,615.0,Kaze Emanuar,First Person Mario 64,,2017-12-29
10138,3mUtNE82ZV4,2018-01-03,24.0,22:25:08,6225.0,53.0,28.0,33.0,BUILD Series,Christian Bale: Division Is Not The Way To Go,,2017-12-18
10055,4JGWxG-vE24,2018-01-03,24.0,15:59:05,1067126.0,37270.0,2407.0,11317.0,Revolt TV,Charlamagne Tha God & Joe Budden Present: This Year Was Dope/Trash 2017 (Full Episode),,2017-12-26
10088,4OiHwMtKwis,2018-01-03,10.0,22:00:08,548576.0,16783.0,1114.0,1654.0,,Walk On Water (Official Video Teaser),EminemMusic,2017-12-20
10191,4W_YgNW7gs0,2018-01-03,10.0,17:59:06,1288916.0,63878.0,562.0,3455.0,,Linkin Park,Sharp Edges (One More Light Live),2017-12-14
10141,4pq_VGpPooM,2018-01-03,20.0,08:06:02,270619.0,13895.0,1145.0,2518.0,xQcOW,Suspended: My apology,,2017-12-19
10075,59yWucSYhO0,2018-01-03,22.0,23:08:04,152261.0,2378.0,338.0,816.0,CHANNEL90seconds newscom,President Trump and First Lady Melania Trump participates in NORAD Santa Tracker phone calls. Dec 24,,2017-12-24
10116,5QpnRjXtm1A,2018-01-03,22.0,12:41:33,20785.0,332.0,81.0,30.0,St Wilfrid's Catholic School,St Wilfrid's Actually,,2017-12-20
10154,5uXsCaakZD8,2018-01-03,24.0,20:00:37,4950756.0,396730.0,18101.0,38720.0,h3h3Productions,It's Time To Stop Ajit Pai,,2017-12-16
10002,5zP4yWzb24M,2018-01-03,10.0,10:00:03,142696.0,1646.0,80.0,173.0,,Ed Sheeran – Layla with Jools Holland & His Rhythm & Blues Orchestra,BBC Music,2018-01-01
10033,61SWGdZ2p2M,2018-01-03,10.0,07:45:12,787077.0,29454.0,1103.0,1448.0,,"Walk off the Earth (Ft. Jocelyn Alice, KRNFX, Sexy Sax Man) Camila Cabello Cover",Havana,2017-12-28
10015,6F5x2ArbQKU,2018-01-03,17.0,10:00:00,312863.0,15197.0,160.0,882.0,Nile Wilson,MY MUM TRIED GYMNASTICS! {Wipeout},,2017-12-30
10061,6eB_iBslIfE,2018-01-03,22.0,18:10:25,216648.0,677.0,103.0,0.0,My Brother's Keeper Alliance,We Are The Ones (:60) | MBK Alliance,,2017-12-24
10164,6l9go9X1EbE,2018-01-03,25.0,19:35:08,249790.0,9830.0,1735.0,4641.0,Stefan Molyneux,The Truth About Star Wars: The Last Jedi,,2017-12-17
10104,7cql4KuraEo,2018-01-03,25.0,04:30:01,179382.0,4223.0,4182.0,3882.0,The Young Turks,Are SJW's Ruining Star Wars?,,2017-12-21
10119,8HvwNOSnveE,2018-01-03,27.0,21:50:04,215007.0,7203.0,136.0,1025.0,PBS Space Time,Extinction by Gamma-Ray Burst | Space Time,,2017-12-20
9998,8KgiaRPxRnQ,2018-01-03,20.0,18:00:01,780084.0,39946.0,1089.0,10203.0,PlayOverwatch,Developer Update | Happy New Year | Overwatch,,2018-01-02
10085,8LPVjHxXvJM,2018-01-03,23.0,05:25:00,10659285.0,216630.0,12021.0,23691.0,The Tonight Show Starring Jimmy Fallon,Jimmy Interviews Cardi B,,2017-12-21
