InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Region
C539037,84792,ENCHANTED BIRD COATHANGER 5 HOOK,-24,2010-12-15 14:42:00,3.81,12666.0,Israel,Middle East
C539037,22474,SPACEBOY TV DINNER TRAY,-32,2010-12-15 14:42:00,4.25,12666.0,Israel,Middle East
539500,72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,54,2010-12-20 11:02:00,3.81,,Bahrain,Middle East
C540155,72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,-54,2011-01-05 11:31:00,3.81,,Bahrain,Middle East
540556,21397,BLUE POLKADOT EGG CUP ,12,2011-01-10 09:58:00,1.25,,Israel,Middle East
540556,21242,RED RETROSPOT PLATE ,16,2011-01-10 09:58:00,1.69,,Israel,Middle East
540556,21246,RED RETROSPOT BIG BOWL,6,2011-01-10 09:58:00,4.95,,Israel,Middle East
540556,47566,PARTY BUNTING,10,2011-01-10 09:58:00,4.65,,Israel,Middle East
540556,21115,ROSE CARAVAN DOORSTOP,2,2011-01-10 09:58:00,6.75,,Israel,Middle East
540556,22317,FIVE CATS HANGING DECORATION,6,2011-01-10 09:58:00,2.95,,Israel,Middle East
540556,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,2011-01-10 09:58:00,3.75,,Israel,Middle East
540556,22451,SILK PURSE BABUSHKA RED,6,2011-01-10 09:58:00,3.35,,Israel,Middle East
540556,22450,SILK PURSE BABUSHKA BLUE,6,2011-01-10 09:58:00,3.35,,Israel,Middle East
540556,22722,SET OF 6 SPICE TINS PANTRY DESIGN,4,2011-01-10 09:58:00,3.95,,Israel,Middle East
540556,22723,SET OF 6 HERB TINS SKETCHBOOK,8,2011-01-10 09:58:00,3.95,,Israel,Middle East
540556,22781,GUMBALL MAGAZINE RACK,4,2011-01-10 09:58:00,7.65,,Israel,Middle East
540556,22468,BABUSHKA LIGHTS STRING OF 10,10,2011-01-10 09:58:00,6.75,,Israel,Middle East
540556,22721,SET OF 3 CAKE TINS SKETCHBOOK,6,2011-01-10 09:58:00,4.95,,Israel,Middle East
542276,82551,LAUNDRY 15C METAL SIGN,12,2011-01-27 10:19:00,1.45,12764.0,Lebanon,Middle East
542276,21165,BEWARE OF THE CAT METAL SIGN ,12,2011-01-27 10:19:00,1.69,12764.0,Lebanon,Middle East
542276,82600,NO SINGING METAL SIGN,12,2011-01-27 10:19:00,2.1,12764.0,Lebanon,Middle East
542276,21754,HOME BUILDING BLOCK WORD,6,2011-01-27 10:19:00,5.95,12764.0,Lebanon,Middle East
542276,21756,BATH BUILDING BLOCK WORD,6,2011-01-27 10:19:00,5.95,12764.0,Lebanon,Middle East
542276,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2011-01-27 10:19:00,2.55,12764.0,Lebanon,Middle East
542276,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2011-01-27 10:19:00,2.95,12764.0,Lebanon,Middle East
542276,22169,FAMILY ALBUM WHITE PICTURE FRAME,4,2011-01-27 10:19:00,8.5,12764.0,Lebanon,Middle East
542276,47566,PARTY BUNTING,15,2011-01-27 10:19:00,4.65,12764.0,Lebanon,Middle East
542276,82484,WOOD BLACK BOARD ANT WHITE FINISH,3,2011-01-27 10:19:00,6.45,12764.0,Lebanon,Middle East
542276,21272,SALLE DE BAIN HOOK,12,2011-01-27 10:19:00,1.25,12764.0,Lebanon,Middle East
542276,22788,BROCANTE COAT RACK,4,2011-01-27 10:19:00,9.95,12764.0,Lebanon,Middle East
542276,22282,12 EGG HOUSE PAINTED WOOD,4,2011-01-27 10:19:00,12.75,12764.0,Lebanon,Middle East
542276,22844,VINTAGE CREAM DOG FOOD CONTAINER,2,2011-01-27 10:19:00,8.5,12764.0,Lebanon,Middle East
542276,35810B,ENAMEL BLUE RIM COFFEE CONTAINER,6,2011-01-27 10:19:00,2.1,12764.0,Lebanon,Middle East
542276,22854,CREAM SWEETHEART EGG HOLDER,8,2011-01-27 10:19:00,4.95,12764.0,Lebanon,Middle East
542276,22349,DOG BOWL CHASING BALL DESIGN,6,2011-01-27 10:19:00,3.75,12764.0,Lebanon,Middle East
542276,22350,ILLUSTRATED CAT BOWL ,6,2011-01-27 10:19:00,2.55,12764.0,Lebanon,Middle East
542276,22845,VINTAGE CREAM CAT FOOD CONTAINER,2,2011-01-27 10:19:00,6.35,12764.0,Lebanon,Middle East
542276,22588,CARD HOLDER GINGHAM HEART,12,2011-01-27 10:19:00,2.55,12764.0,Lebanon,Middle East
542276,22904,CALENDAR PAPER CUT DESIGN,6,2011-01-27 10:19:00,2.95,12764.0,Lebanon,Middle East
542276,21260,FIRST AID TIN,12,2011-01-27 10:19:00,3.25,12764.0,Lebanon,Middle East
542276,21906,PHARMACIE FIRST AID TIN,12,2011-01-27 10:19:00,6.75,12764.0,Lebanon,Middle East
542276,22922,FRIDGE MAGNETS US DINER ASSORTED,12,2011-01-27 10:19:00,0.85,12764.0,Lebanon,Middle East
542276,84929,ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,24,2011-01-27 10:19:00,0.55,12764.0,Lebanon,Middle East
542276,22966,GINGERBREAD MAN COOKIE CUTTER,12,2011-01-27 10:19:00,1.25,12764.0,Lebanon,Middle East
542276,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,12,2011-01-27 10:19:00,4.95,12764.0,Lebanon,Middle East
542276,22723,SET OF 6 HERB TINS SKETCHBOOK,8,2011-01-27 10:19:00,3.95,12764.0,Lebanon,Middle East
542276,22722,SET OF 6 SPICE TINS PANTRY DESIGN,12,2011-01-27 10:19:00,3.95,12764.0,Lebanon,Middle East
542276,22423,REGENCY CAKESTAND 3 TIER,12,2011-01-27 10:19:00,12.75,12764.0,Lebanon,Middle East
